Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708439319, 458643, -4624, -5424, 3120
1707708439329, 458653, -4656, -5472, 3040
1707708439339, 458663, -4672, -5536, 3040
1707708439349, 458673, -4688, -5536, 2960
1707708439359, 458683, -4672, -5488, 2784
1707708439369, 458693, -4640, -5392, 2752
1707708439379, 458703, -4640, -5408, 2784
1707708439389, 458713, -4704, -5424, 2816
1707708439399, 458723, -4720, -5392, 2816
1707708439409, 458733, -4752, -5376, 2928
1707708439419, 458743, -4752, -5392, 2912
1707708439429, 458753, -4640, -5232, 3008
1707708439439, 458763, -4640, -5344, 3040
1707708439449, 458773, -4720, -5376, 2992
1707708439459, 458783, -4704, -5488, 2992
1707708439469, 458793, -4704, -5568, 2880
1707708439479, 458803, -4704, -5824, 2896
1707708439489, 458813, -4640, -5872, 2960
1707708439499, 458823, -4736, -6064, 2976
1707708439509, 458833, -4624, -6016, 3120
1707708439519, 458843, -4544, -6080, 3104
1707708439529, 458853, -4416, -6192, 3008
1707708439539, 458863, -4496, -6416, 2800
1707708439549, 458873, -4464, -6496, 2672
1707708439559, 458883, -4416, -6656, 2528
1707708439569, 458893, -4528, -6864, 2544
1707708439579, 458903, -4704, -6928, 2656
1707708439589, 458913, -4960, -6800, 3072
1707708439599, 458923, -5152, -6256, 3456
1707708439609, 458933, -5040, -5936, 3856
1707708439619, 458943, -4752, -5776, 3984
1707708439629, 458953, -4704, -5520, 3712
1707708439639, 458963, -4320, -5408, 3392
1707708439649, 458973, -4624, -6144, 3104
1707708439659, 458983, -5088, -7024, 3104
1707708439669, 458993, -5168, -7696, 3232
1707708439679, 459003, -4896, -8368, 3600
1707708439689, 459013, -4864, -9312, 4160
1707708439699, 459023, -4848, -10688, 4512
1707708439709, 459033, -4512, -12464, 4848
1707708439719, 459043, -4096, -14288, 4608
1707708439729, 459053, -3728, -15168, 4048
1707708439739, 459063, -3632, -15552, 3488
1707708439749, 459073, -3872, -16128, 3232
1707708439760, 459083, -4464, -16512, 3760
1707708439769, 459093, -5344, -16448, 4240
1707708439779, 459103, -6176, -16080, 4672
1707708439789, 459113, -7040, -15808, 5152
1707708439800, 459123, -7856, -15344, 5312
1707708439809, 459133, -8320, -14560, 5568
1707708439819, 459143, -9024, -13840, 6048
1707708439829, 459153, -9920, -13072, 6160
1707708439839, 459163, -10400, -12336, 5760
1707708439849, 459173, -10784, -11920, 5152
1707708439859, 459183, -11104, -10992, 4944
1707708439870, 459193, -11152, -10192, 4816
1707708439879, 459203, -11168, -9456, 4656
1707708439889, 459213, -11200, -9120, 4352
1707708439899, 459223, -11184, -8768, 4288
1707708439909, 459233, -11152, -8256, 4160
1707708439919, 459243, -11136, -8000, 3792
1707708439929, 459253, -11072, -7568, 3328
1707708439939, 459263, -10736, -7360, 2672
1707708439949, 459273, -10224, -7200, 1968
1707708439959, 459283, -9712, -7088, 1456
1707708439969, 459293, -9264, -6832, 992
1707708439979, 459303, -8800, -6624, 704
1707708439989, 459313, -8464, -6448, 880
1707708439999, 459323, -8144, -6176, 880
1707708440009, 459333, -7808, -6160, 736
1707708440019, 459343, -7600, -6160, 368
1707708440029, 459353, -7440, -6016, -288
1707708440039, 459363, -7216, -5984, -752
1707708440049, 459373, -7136, -5936, -800
1707708440059, 459383, -6896, -5616, -432
1707708440069, 459393, -6384, -5104, 48
1707708440079, 459403, -5936, -4368, 512
1707708440089, 459413, -6304, -3072, 1088
1707708440099, 459423, -6416, -1392, 1648
1707708440109, 459433, -6672, 528, 1632
1707708440119, 459443, -6672, 2544, 1072
1707708440129, 459453, -6304, 4208, -224
1707708440139, 459463, -6240, 5968, -2080
1707708440149, 459473, -6048, 6528, -3936
1707708440159, 459483, -4016, 5552, -6208
1707708440169, 459493, -3664, 5120, -5952
1707708440179, 459503, -3664, 3584, -4320
1707708440189, 459513, -2176, 2400, -3920
1707708440199, 459523, -1264, 1312, -4096
1707708440209, 459533, -688, -144, -4512
1707708440219, 459543, -368, 496, -6384
1707708440229, 459553, -256, 352, -7344
1707708440239, 459563, -112, 224, -7696
1707708440249, 459573, -272, 416, -7504
1707708440259, 459583, -416, 848, -7200
1707708440269, 459593, -432, 816, -6624
1707708440279, 459603, -512, 192, -5952
1707708440289, 459613, -448, -160, -5392
1707708440299, 459623, -368, -816, -5376
1707708440309, 459633, -80, -1440, -5536
1707708440319, 459643, -48, -2192, -6000
1707708440329, 459653, 0, -3008, -6800
1707708440339, 459663, 112, -3424, -7200
1707708440349, 459673, 176, -4080, -7552
1707708440359, 459683, 240, -3824, -7776
1707708440369, 459693, -96, -3776, -8400
1707708440379, 459703, -96, -3328, -9680
1707708440389, 459713, -544, -2400, -11760
1707708440399, 459723, -1040, -2272, -12688
1707708440409, 459733, -1232, -2928, -12848
1707708440419, 459743, -1008, -3552, -12592
1707708440429, 459753, -736, -3584, -12032
1707708440440, 459763, -1760, -3456, -11632
1707708440449, 459773, -1552, -3984, -12336
1707708440460, 459783, -1824, -4528, -12624
1707708440469, 459793, -1952, -4592, -12480
1707708440479, 459803, -2016, -4480, -12128
1707708440489, 459813, -2192, -4624, -11968
1707708440500, 459823, -2352, -5040, -11616
1707708440509, 459833, -2384, -5440, -11216
1707708440519, 459843, -2544, -6032, -10432
1707708440529, 459853, -2688, -6576, -9776
1707708440539, 459863, -2704, -6688, -9344
1707708440549, 459873, -2944, -6704, -8848
1707708440559, 459883, -3072, -6384, -8880
1707708440569, 459893, -3520, -6176, -8512
1707708440579, 459903, -3760, -6544, -7488
1707708440589, 459913, -4048, -7120, -5936
1707708440599, 459923, -4832, -8432, -3280
1707708440609, 459933, -5584, -10192, 48
1707708440619, 459943, -6288, -11248, 3632
1707708440629, 459953, -6848, -12032, 7376
1707708440639, 459963, -6832, -12640, 10048
1707708440650, 459973, -6848, -10416, 12240
1707708440659, 459983, -8288, -6464, 15040
1707708440669, 459993, -9472, -784, 17712
1707708440679, 460003, -10144, 5312, 21072
1707708440689, 460013, -9952, 9888, 24144
1707708440699, 460023, -8800, 12016, 25760
1707708440709, 460033, -7040, 11328, 25824
1707708440719, 460043, -4928, 9264, 24736
1707708440729, 460053, -3248, 7024, 23680
1707708440739, 460063, -2304, 4960, 22528
1707708440749, 460073, -1696, 3200, 21072
1707708440759, 460083, -1216, 1632, 19360
1707708440769, 460093, -1008, 1024, 17664
1707708440779, 460103, -1440, 1264, 16352
1707708440789, 460113, -2208, 1808, 14784
1707708440799, 460123, -2992, 2704, 13408
1707708440809, 460133, -4064, 3504, 11888
1707708440819, 460143, -4848, 4432, 10464
1707708440829, 460153, -5904, 5152, 9632
1707708440839, 460163, -6976, 5584, 9344
1707708440849, 460173, -7840, 5872, 9056
1707708440859, 460183, -8720, 5280, 8512
1707708440869, 460193, -9520, 4208, 7824
1707708440879, 460203, -9968, 2816, 7312
1707708440889, 460213, -9632, 1520, 6272
1707708440899, 460223, -9584, -240, 5776
1707708440909, 460233, -9840, -3056, 5360
1707708440919, 460243, -9440, -4784, 4544
1707708440929, 460253, -9456, -5376, 3552
1707708440939, 460263, -9584, -5584, 2416
1707708440949, 460273, -9904, -6000, 1872
1707708440959, 460283, -10000, -7488, 1472
1707708440969, 460293, -9296, -9216, 416
1707708440979, 460303, -8848, -11632, -416
1707708440989, 460313, -8384, -15024, -1728
1707708440999, 460323, -7584, -18000, -3888
1707708441010, 460333, -6704, -20224, -5504
1707708441020, 460343, -6064, -21824, -6496
1707708441029, 460353, -5856, -22528, -6672
1707708441040, 460363, -5136, -22688, -7232
1707708441050, 460373, -4160, -22224, -8336
1707708441059, 460383, -3456, -21360, -9872
1707708441071, 460393, -2976, -20128, -11136
1707708441082, 460403, -2496, -18752, -11568
1707708441091, 460413, -2032, -17808, -11664
1707708441102, 460423, -1328, -18080, -11936
1707708441109, 460433, -480, -18976, -12768
1707708441119, 460443, 256, -20320, -13104
1707708441129, 460453, 688, -21344, -13328
1707708441139, 460463, 608, -21024, -12880
1707708441149, 460473, 192, -19360, -12176
1707708441159, 460483, -48, -17680, -11248
1707708441170, 460493, -384, -16688, -10320
1707708441179, 460503, -816, -15760, -9344
1707708441190, 460513, -1280, -15120, -8496
1707708441199, 460523, -1792, -14656, -7712
1707708441210, 460533, -2320, -14144, -6928
1707708441220, 460543, -2944, -13536, -6432
1707708441229, 460553, -3696, -12736, -6256
1707708441240, 460563, -4304, -11776, -5968
1707708441250, 460573, -5360, -10560, -5408
1707708441259, 460583, -6192, -9168, -4624
1707708441269, 460593, -6992, -8064, -3632
1707708441279, 460603, -7264, -7008, -2848
1707708441289, 460613, -7296, -6128, -2208
1707708441299, 460623, -7280, -6272, -2096
1707708441309, 460633, -7232, -6688, -2256
1707708441319, 460643, -7120, -7184, -2384
1707708441329, 460653, -7360, -7808, -2640
1707708441339, 460663, -7664, -8208, -2896
1707708441349, 460673, -7664, -8288, -3392
1707708441360, 460683, -7936, -8224, -3808
1707708441369, 460693, -8368, -7968, -4144
1707708441379, 460703, -9712, -6928, -4192
1707708441390, 460713, -11376, -5616, -3664
1707708441399, 460723, -15040, -5008, -2448
1707708441410, 460733, -16064, -4144, -144
1707708441419, 460743, -16448, -2080, 3728
1707708441429, 460753, -15824, -1616, 8384
1707708441439, 460763, -14992, -2208, 14832
1707708441450, 460773, -13248, -5072, 21600
1707708441460, 460783, -10640, -8256, 27472
1707708441470, 460793, -6864, -9984, 31248
1707708441479, 460803, -4032, -10304, 32432
1707708441489, 460813, -2448, -8880, 32112
1707708441499, 460823, -1808, -6768, 29392
1707708441510, 460833, -1616, -4784, 25424
1707708441520, 460843, -1536, -3712, 20320
1707708441529, 460853, -1440, -3440, 15504
1707708441540, 460863, -496, -3408, 11360
1707708441549, 460873, 32, -3792, 9040
1707708441559, 460883, 592, -4720, 7792
1707708441569, 460893, 1056, -5664, 6896
1707708441579, 460903, 1152, -6032, 6528
1707708441589, 460913, 1008, -6464, 6256
1707708441599, 460923, 640, -6592, 5632
1707708441609, 460933, 416, -6336, 4896
1707708441619, 460943, 192, -5968, 4208
1707708441629, 460953, -80, -5664, 3792
1707708441639, 460963, -304, -5360, 3520
1707708441649, 460973, -384, -5200, 3264
1707708441659, 460983, -352, -5120, 2976
1707708441669, 460993, -112, -5184, 3008
1707708441679, 461003, -96, -5744, 3152
1707708441689, 461013, 192, -6240, 3136
1707708441699, 461023, 320, -6656, 3104
1707708441709, 461033, 304, -6880, 3072
1707708441719, 461043, 400, -7008, 3040
1707708441729, 461053, 624, -6944, 2720
1707708441739, 461063, 752, -6832, 2320
1707708441749, 461073, 720, -6784, 2064
1707708441759, 461083, 528, -6848, 1872
1707708441769, 461093, 448, -6720, 1600
1707708441779, 461103, 208, -6320, 1600
1707708441789, 461113, -192, -5648, 1584
1707708441799, 461123, -208, -5232, 1696
1707708441810, 461133, -192, -5088, 1984
1707708441819, 461143, -96, -5152, 2096
1707708441829, 461153, -16, -4720, 2352
1707708441839, 461163, -448, -4112, 2560
1707708441850, 461173, -720, -3440, 2528
1707708441860, 461183, -672, -3232, 2416
1707708441869, 461193, -752, -3280, 2432
1707708441879, 461203, -1472, -3744, 2384
1707708441889, 461213, -1968, -3984, 2272
1707708441899, 461223, -2224, -3232, 1840
1707708441910, 461233, -2240, -2960, 1488
1707708441919, 461243, -2448, -2784, 1328
1707708441930, 461253, -2656, -2544, 1296
1707708441939, 461263, -2864, -2768, 1072
1707708441949, 461273, -3056, -3376, 800
1707708441959, 461283, -3040, -3744, 496
1707708441969, 461293, -3232, -4016, 176
1707708441979, 461303, -3376, -4096, -96
1707708441989, 461313, -3728, -4240, -80
1707708441999, 461323, -4160, -4272, 128
1707708442010, 461333, -4528, -4144, 304
1707708442019, 461343, -4816, -4112, 512
1707708442029, 461353, -4704, -4880, 1088
1707708442040, 461363, -5232, -5968, 1680
1707708442049, 461373, -5936, -6832, 1888
1707708442060, 461383, -6064, -7024, 1376
1707708442070, 461393, -5920, -6960, 1136
1707708442079, 461403, -5968, -7056, 1264
1707708442090, 461413, -6352, -7552, 1728
1707708442099, 461423, -6864, -8256, 2128
1707708442110, 461433, -6960, -9264, 3008
1707708442120, 461443, -7104, -10576, 4112
1707708442129, 461453, -7024, -11008, 4784
1707708442139, 461463, -6656, -11168, 4976
1707708442150, 461473, -6704, -11296, 4816
1707708442160, 461483, -6464, -11088, 5136
1707708442170, 461493, -6112, -11120, 6432
