Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708591390, 610713, -4640, -6752, 2896
1707708591400, 610723, -4528, -7184, 3008
1707708591410, 610733, -4352, -7472, 2992
1707708591420, 610743, -4272, -8288, 3312
1707708591430, 610753, -4352, -9584, 3824
1707708591440, 610763, -4400, -10864, 4304
1707708591450, 610773, -4608, -11664, 4480
1707708591460, 610783, -4992, -12400, 4432
1707708591470, 610793, -5296, -13200, 4480
1707708591480, 610803, -4992, -13664, 4208
1707708591490, 610813, -4544, -13824, 3168
1707708591500, 610823, -4288, -14384, 1840
1707708591510, 610833, -4288, -15424, 768
1707708591520, 610843, -4480, -16400, 96
1707708591530, 610853, -4640, -16704, -208
1707708591540, 610863, -4800, -16784, 64
1707708591550, 610873, -5184, -16720, 784
1707708591560, 610883, -5552, -16576, 1504
1707708591570, 610893, -6096, -16416, 2320
1707708591580, 610903, -6736, -16288, 3200
1707708591590, 610913, -7456, -15936, 3984
1707708591600, 610923, -7920, -15360, 4384
1707708591610, 610933, -8512, -15216, 5104
1707708591620, 610943, -9184, -14768, 5712
1707708591630, 610953, -9488, -13920, 6144
1707708591640, 610963, -9712, -13216, 6528
1707708591650, 610973, -10048, -12640, 6912
1707708591660, 610983, -10128, -11888, 7264
1707708591670, 610993, -9968, -11200, 7600
1707708591680, 611003, -9664, -10704, 7808
1707708591690, 611013, -9312, -10448, 7904
1707708591700, 611023, -8768, -10320, 7680
1707708591710, 611033, -8256, -10192, 7232
1707708591720, 611043, -7712, -10320, 6576
1707708591730, 611053, -6800, -10352, 5760
1707708591740, 611063, -5952, -10272, 4752
1707708591750, 611073, -5568, -10256, 3952
1707708591760, 611083, -5408, -10176, 3408
1707708591770, 611093, -5248, -9776, 3184
1707708591780, 611103, -5072, -9408, 3488
1707708591790, 611113, -4816, -8944, 3888
1707708591800, 611123, -4320, -8384, 4304
1707708591810, 611133, -3920, -8176, 4272
1707708591820, 611143, -3248, -8240, 4272
1707708591830, 611153, -2656, -8240, 3984
1707708591840, 611163, -2352, -8256, 3712
1707708591850, 611173, -2160, -8304, 3344
1707708591860, 611183, -2064, -8032, 2544
1707708591870, 611193, -1936, -7872, 1312
1707708591880, 611203, -1712, -7920, 272
1707708591890, 611213, -1536, -7664, -416
1707708591900, 611223, -1904, -7552, -768
1707708591910, 611233, -2096, -7168, -912
1707708591920, 611243, -2224, -6640, -1168
1707708591930, 611253, -2256, -6096, -1248
1707708591940, 611263, -2432, -5520, -1312
1707708591950, 611273, -2592, -5024, -992
1707708591960, 611283, -2784, -3808, -304
1707708591970, 611293, -3056, -2752, 0
1707708591980, 611303, -3088, -1664, 928
1707708591990, 611313, -2576, -576, 1296
1707708592000, 611323, -2096, 576, 1344
1707708592010, 611333, -1568, 1744, 1056
1707708592020, 611343, -1568, 2304, 768
1707708592030, 611353, -1200, 2752, 848
1707708592040, 611363, -800, 3408, 1248
1707708592050, 611373, -496, 3888, 1936
1707708592060, 611383, -144, 3904, 2976
1707708592070, 611393, 320, 3632, 3920
1707708592080, 611403, 912, 3504, 4752
1707708592090, 611413, 1648, 3728, 5248
1707708592100, 611423, 1856, 3776, 5696
1707708592110, 611433, 1904, 3792, 6064
1707708592120, 611443, 2000, 3856, 6624
1707708592130, 611453, 2192, 4000, 7472
1707708592140, 611463, 2224, 4320, 8592
1707708592150, 611473, 2288, 4736, 10048
1707708592160, 611483, 2336, 5184, 11632
1707708592170, 611493, 2432, 5488, 13056
1707708592180, 611503, 2416, 5552, 14000
1707708592190, 611513, 2496, 5296, 14080
1707708592200, 611523, 2400, 4576, 13184
1707708592210, 611533, 2208, 3888, 11632
1707708592220, 611543, 2000, 3376, 10032
1707708592230, 611553, 1712, 2880, 8704
1707708592240, 611563, 1488, 2464, 7504
1707708592250, 611573, 1296, 2320, 6192
1707708592260, 611583, 1312, 2096, 5008
1707708592270, 611593, 1488, 1648, 3680
1707708592280, 611603, 1504, 1376, 2720
1707708592290, 611613, 1472, 1104, 2048
1707708592300, 611623, 1408, 960, 1696
1707708592310, 611633, 1360, 752, 1376
1707708592320, 611643, 1200, 592, 960
1707708592330, 611653, 528, -704, 1600
1707708592340, 611663, 992, 32, -192
1707708592350, 611673, 416, -80, -1056
1707708592360, 611683, 64, -144, -1984
1707708592370, 611693, -352, 176, -3232
1707708592380, 611703, -800, 928, -4832
1707708592390, 611713, -1120, 1808, -6608
1707708592400, 611723, -1328, 2352, -8736
1707708592410, 611733, -1584, 2992, -11328
1707708592420, 611743, -1712, 3712, -13984
1707708592430, 611753, -1664, 4096, -16112
1707708592440, 611763, -1248, 4560, -17408
1707708592450, 611773, -832, 4304, -17776
1707708592460, 611783, -496, 3952, -17936
1707708592470, 611793, 96, 3472, -18288
1707708592480, 611803, 288, 3024, -18640
1707708592490, 611813, 288, 2672, -18128
1707708592500, 611823, 272, 2624, -17136
1707708592510, 611833, 192, 3104, -16320
1707708592520, 611843, 224, 3248, -15392
1707708592530, 611853, 224, 3248, -14368
1707708592540, 611863, 240, 2816, -13296
1707708592550, 611873, 352, 2288, -12288
1707708592560, 611883, 608, 2352, -11584
1707708592570, 611893, 608, 2720, -11152
1707708592580, 611903, 816, 3392, -10848
1707708592590, 611913, 848, 4144, -10736
1707708592600, 611923, 912, 4752, -10656
1707708592610, 611933, 1184, 5488, -10240
1707708592620, 611943, 1376, 6080, -10320
1707708592630, 611953, 1616, 6400, -10048
1707708592640, 611963, 1840, 5968, -9696
1707708592650, 611973, 2016, 5152, -8944
1707708592660, 611983, 2288, 4352, -8096
1707708592670, 611993, 2512, 3776, -7296
1707708592680, 612003, 2672, 3024, -6480
1707708592690, 612013, 2640, 2208, -5584
1707708592700, 612023, 2608, 1040, -4704
1707708592710, 612033, 2416, 208, -3744
1707708592720, 612043, 2000, -224, -2544
1707708592730, 612053, 1392, -960, -912
1707708592740, 612063, 512, -1216, 1728
1707708592749, 612073, -544, -1088, 5312
1707708592759, 612083, -1184, -864, 9952
1707708592769, 612093, -1280, -576, 15552
1707708592779, 612103, -560, 608, 21232
1707708592789, 612113, 352, 2272, 25376
1707708592799, 612123, 1408, 2928, 27360
1707708592809, 612133, 2032, 2512, 27136
1707708592819, 612143, 2544, 1856, 25264
1707708592829, 612153, 3104, 1312, 22176
1707708592839, 612163, 3616, 704, 19184
1707708592849, 612173, 3952, 544, 16544
1707708592859, 612183, 4000, 816, 14528
1707708592869, 612193, 3952, 960, 12976
1707708592879, 612203, 4048, 1232, 11840
1707708592889, 612213, 4016, 1520, 10880
1707708592899, 612223, 3984, 1632, 10112
1707708592909, 612233, 3952, 1536, 9376
1707708592919, 612243, 4048, 1200, 8848
1707708592929, 612253, 4192, 560, 8528
1707708592939, 612263, 4400, -80, 7952
1707708592949, 612273, 4352, -688, 7584
1707708592959, 612283, 4352, -1312, 6832
1707708592969, 612293, 4368, -1888, 6320
1707708592979, 612303, 4400, -2640, 6096
1707708592989, 612313, 4128, -3472, 5504
1707708592999, 612323, 3792, -3632, 4624
1707708593009, 612333, 2160, -3536, 3552
1707708593019, 612343, 352, -3200, 1488
1707708593029, 612353, -240, -1872, -3536
1707708593039, 612363, -2496, 80, -6272
1707708593049, 612373, -3616, 2752, -10352
1707708593059, 612383, -3824, 4576, -13904
1707708593069, 612393, -3344, 5408, -17152
1707708593079, 612403, -2704, 6384, -19904
1707708593089, 612413, -2352, 7216, -21808
1707708593099, 612423, -1472, 8016, -23264
1707708593109, 612433, -672, 8432, -23792
1707708593119, 612443, -624, 8096, -22960
1707708593129, 612453, -480, 7456, -21216
1707708593139, 612463, -272, 6304, -19184
1707708593149, 612473, 80, 5056, -17600
1707708593159, 612483, 368, 4016, -16192
1707708593169, 612493, 736, 3072, -14640
1707708593179, 612503, 1072, 2256, -13184
1707708593189, 612513, 1248, 2112, -12096
1707708593199, 612523, 1344, 2320, -11088
1707708593209, 612533, 1376, 2896, -10432
1707708593219, 612543, 1456, 3280, -9616
1707708593229, 612553, 1792, 3392, -8976
1707708593239, 612563, 1952, 3728, -8256
1707708593249, 612573, 2128, 3840, -7840
