Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708514921, 534243, -4048, -5520, 3504
1707708514931, 534253, -4112, -5728, 3392
1707708514941, 534263, -4128, -5488, 3408
1707708514951, 534273, -4256, -5360, 3616
1707708514961, 534283, -4368, -5232, 3696
1707708514971, 534293, -4400, -5168, 3648
1707708514981, 534303, -4256, -4960, 3664
1707708514991, 534313, -4240, -4848, 3584
1707708515001, 534323, -4160, -4864, 3472
1707708515011, 534333, -4240, -4976, 3744
1707708515021, 534343, -4384, -5200, 3632
1707708515031, 534353, -4208, -5120, 3328
1707708515041, 534363, -4128, -5152, 3296
1707708515051, 534373, -4160, -5456, 3312
1707708515061, 534383, -4304, -5600, 3600
1707708515071, 534393, -4176, -5584, 3552
1707708515081, 534403, -4112, -5520, 3408
1707708515091, 534413, -4016, -5568, 3488
1707708515101, 534423, -4080, -5696, 3648
1707708515111, 534433, -3984, -5824, 3712
1707708515121, 534443, -3936, -6304, 3968
1707708515131, 534453, -3408, -7088, 4384
1707708515141, 534463, -2976, -8000, 4784
1707708515151, 534473, -2336, -9232, 5168
1707708515161, 534483, -1696, -10208, 5200
1707708515171, 534493, -1104, -11344, 5104
1707708515181, 534503, -512, -12640, 5536
1707708515191, 534513, -112, -13920, 6320
1707708515201, 534523, 144, -15152, 7200
1707708515211, 534533, -48, -16080, 8016
1707708515221, 534543, -624, -16160, 8784
1707708515231, 534553, -1168, -16288, 9168
1707708515241, 534563, -2224, -16160, 9840
1707708515251, 534573, -3312, -15728, 10832
1707708515261, 534583, -4288, -15504, 11616
1707708515271, 534593, -5280, -15200, 12096
1707708515281, 534603, -6096, -14736, 12480
1707708515291, 534613, -6432, -15120, 12832
1707708515301, 534623, -6656, -16176, 13168
1707708515311, 534633, -7024, -16896, 13392
1707708515321, 534643, -7712, -16640, 13456
1707708515331, 534653, -8304, -15392, 12848
1707708515341, 534663, -8544, -13488, 12448
1707708515351, 534673, -8224, -12608, 12192
1707708515361, 534683, -7600, -12784, 11440
1707708515371, 534693, -6992, -13504, 10992
1707708515381, 534703, -6512, -14016, 10720
1707708515391, 534713, -6912, -13376, 9872
1707708515401, 534723, -7072, -12640, 8688
1707708515411, 534733, -6880, -12320, 7712
1707708515421, 534743, -6784, -11744, 6912
1707708515431, 534753, -6688, -11088, 6160
1707708515441, 534763, -6976, -10512, 5344
1707708515451, 534773, -8016, -8528, 4656
1707708515461, 534783, -9344, -5680, 3936
1707708515471, 534793, -10208, -2976, 2816
1707708515481, 534803, -10368, -864, 1584
1707708515491, 534813, -10272, 1392, 128
1707708515501, 534823, -10224, 4480, -1408
1707708515511, 534833, -10224, 6944, -3296
1707708515521, 534843, -9968, 8304, -5248
1707708515531, 534853, -9376, 9136, -6416
1707708515541, 534863, -8544, 8352, -6528
1707708515551, 534873, -8288, 9344, -9744
1707708515561, 534883, -4944, 10208, -13600
1707708515571, 534893, -3200, 11104, -17632
1707708515581, 534903, -1616, 12016, -21184
1707708515591, 534913, -1616, 11392, -22512
1707708515601, 534923, -2544, 10592, -20912
1707708515611, 534933, -4320, 10576, -17168
1707708515621, 534943, -6912, 10880, -12704
1707708515631, 534953, -9664, 8816, -7648
1707708515641, 534963, -10768, 4208, -992
1707708515651, 534973, -10608, -144, 6912
1707708515661, 534983, -8784, -3856, 19632
1707708515671, 534993, -4080, -8384, 31392
1707708515681, 535003, 1792, -12624, 32576
1707708515691, 535013, 5184, -15664, 32640
1707708515701, 535023, 5616, -15872, 32640
1707708515711, 535033, 4480, -9984, 26448
1707708515721, 535043, 3616, -5504, 18256
1707708515731, 535053, 3456, -2368, 12288
1707708515739, 535063, 3680, 32, 7312
1707708515749, 535073, 3776, 896, 3696
1707708515759, 535083, 3552, 48, 1360
1707708515769, 535093, 3664, 640, -960
1707708515781, 535103, 2512, 2608, -2336
1707708515791, 535113, 1344, 4896, -3360
1707708515801, 535123, 1648, 6320, -3760
1707708515811, 535133, 1024, 6320, -3680
1707708515821, 535143, 480, 6736, -3792
1707708515831, 535153, -576, 7632, -4592
1707708515841, 535163, -1520, 9056, -6832
1707708515851, 535173, -672, 11312, -11632
1707708515861, 535183, 400, 13936, -16848
1707708515871, 535193, 1648, 16048, -23280
1707708515881, 535203, 4064, 17648, -27280
1707708515891, 535213, 4224, 16064, -27776
1707708515901, 535223, 2448, 12800, -24688
1707708515911, 535233, -1872, 10480, -18864
1707708515921, 535243, -6752, 6512, -12624
1707708515931, 535253, -10496, 1568, -4704
1707708515941, 535263, -12224, -2336, 7488
1707708515951, 535273, -10176, -5712, 27472
1707708515961, 535283, -2752, -7904, 32320
1707708515971, 535293, 2416, -13664, 32624
1707708515981, 535303, 4000, -16688, 32640
1707708515991, 535313, 3248, -9424, 31072
1707708516001, 535323, 960, -3872, 20528
1707708516009, 535333, 480, 32, 11760
1707708516019, 535343, 96, 2432, 6032
1707708516029, 535353, 80, 4384, 1584
1707708516041, 535363, 848, 4640, -2272
1707708516051, 535373, 1488, 4400, -4784
1707708516061, 535383, 1792, 4800, -6528
1707708516071, 535393, 2272, 5360, -7392
1707708516081, 535403, 2624, 6128, -9424
1707708516091, 535413, 2816, 7648, -12864
1707708516101, 535423, 3472, 9296, -16816
1707708516111, 535433, 4032, 10064, -19360
1707708516121, 535443, 4080, 10368, -20256
1707708516131, 535453, 3760, 10656, -20032
1707708516141, 535463, 2736, 11088, -19184
1707708516151, 535473, 1056, 11648, -16928
1707708516161, 535483, -1152, 11024, -13552
1707708516171, 535493, -3696, 6720, -9136
1707708516181, 535503, -4352, -1040, -3328
1707708516191, 535513, -4048, -8304, 4832
1707708516201, 535523, -3376, -11216, 18384
1707708516211, 535533, -1168, -10688, 31296
1707708516221, 535543, 1456, -8720, 32560
1707708516231, 535553, 1568, -7168, 32640
1707708516241, 535563, 1952, -3792, 32640
1707708516251, 535573, 1648, -752, 24000
1707708516261, 535583, 1232, 1328, 14928
1707708516271, 535593, 1392, 2096, 8736
1707708516281, 535603, 1552, 1920, 4320
1707708516289, 535613, 1632, 2048, 768
1707708516301, 535623, 1152, 2944, -1568
1707708516311, 535633, 512, 4448, -3248
1707708516321, 535643, -96, 6736, -4096
1707708516331, 535653, -720, 9264, -5376
1707708516341, 535663, 48, 11792, -8176
1707708516351, 535673, 1904, 12352, -12816
1707708516361, 535683, 3248, 12352, -18496
1707708516371, 535693, 4272, 14576, -23680
1707708516381, 535703, 4432, 16160, -25104
1707708516391, 535713, 3120, 14672, -23696
1707708516401, 535723, 912, 12672, -18976
1707708516411, 535733, -2064, 11168, -13216
1707708516421, 535743, -4864, 7280, -6880
1707708516431, 535753, -5520, 208, 1120
1707708516441, 535763, -3616, -8128, 12688
1707708516451, 535773, 320, -14704, 28736
1707708516461, 535783, 6032, -18048, 32400
1707708516471, 535793, 7248, -17296, 32640
1707708516481, 535803, 5552, -11792, 32640
1707708516491, 535813, 4192, -5008, 24464
1707708516501, 535823, 2880, -192, 14416
1707708516511, 535833, 2064, 2624, 7904
1707708516521, 535843, 1632, 4432, 2512
1707708516531, 535853, 1536, 5104, -848
1707708516541, 535863, 1536, 5296, -3792
1707708516551, 535873, 1824, 5712, -6576
1707708516561, 535883, 2160, 6432, -7632
1707708516571, 535893, 2320, 7104, -8864
1707708516581, 535903, 2624, 7840, -9488
1707708516591, 535913, 2896, 8528, -10448
1707708516601, 535923, 2624, 8624, -9600
1707708516611, 535933, 2512, 9040, -9888
1707708516621, 535943, 2704, 9840, -11168
1707708516631, 535953, 3200, 11008, -13488
