Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1707708233062, 252383, 6368, -2064, 5008
1707708233072, 252393, 6320, -2112, 5344
1707708233082, 252403, 6288, -2160, 5488
1707708233092, 252413, 6304, -2112, 5664
1707708233102, 252423, 6256, -1952, 5744
1707708233112, 252433, 6208, -2112, 5920
1707708233122, 252443, 6128, -2176, 5936
1707708233132, 252453, 6272, -2416, 5728
1707708233142, 252463, 6256, -2640, 5280
1707708233152, 252473, 6272, -2768, 4896
1707708233162, 252483, 6256, -2800, 4480
1707708233172, 252493, 6192, -2944, 4048
1707708233182, 252503, 6192, -2976, 3616
1707708233192, 252513, 6256, -3120, 3264
1707708233202, 252523, 6320, -3248, 2976
1707708233212, 252533, 6240, -3344, 2704
1707708233222, 252543, 6256, -3280, 2688
1707708233232, 252553, 6256, -3232, 2640
1707708233242, 252563, 6368, -3152, 2672
1707708233252, 252573, 6240, -2928, 2800
1707708233262, 252583, 6240, -2864, 2832
1707708233272, 252593, 6416, -2784, 2976
1707708233282, 252603, 6560, -2704, 2976
1707708233292, 252613, 6688, -2576, 2928
1707708233302, 252623, 6624, -2432, 2816
1707708233312, 252633, 6512, -2368, 2752
1707708233322, 252643, 6464, -2240, 2624
1707708233332, 252653, 6288, -2304, 2384
1707708233342, 252663, 6192, -2256, 1936
1707708233352, 252673, 5840, -2192, 1680
1707708233362, 252683, 5616, -2208, 1136
1707708233372, 252693, 5440, -2096, 672
1707708233382, 252703, 5136, -1840, 304
1707708233392, 252713, 4672, -1808, -192
1707708233402, 252723, 4160, -1856, -672
1707708233412, 252733, 3616, -1936, -1232
1707708233422, 252743, 3200, -2000, -1504
1707708233432, 252753, 2560, -1888, -2112
1707708233442, 252763, 2080, -2048, -2704
1707708233452, 252773, 1520, -2160, -3312
1707708233462, 252783, 992, -2352, -3744
1707708233472, 252793, 400, -2384, -4032
1707708233482, 252803, 128, -2144, -4368
1707708233492, 252813, -352, -2416, -4384
1707708233502, 252823, -896, -2784, -3856
1707708233512, 252833, -1424, -2848, -3072
1707708233522, 252843, -1904, -3072, -2048
1707708233532, 252853, -2480, -3296, -944
1707708233542, 252863, -3136, -3552, -32
1707708233552, 252873, -3968, -4144, 848
1707708233562, 252883, -4656, -4816, 2208
1707708233572, 252893, -5312, -5392, 3744
1707708233582, 252903, -5840, -5648, 4912
1707708233592, 252913, -6640, -5664, 5952
1707708233602, 252923, -7248, -5856, 6672
1707708233612, 252933, -7792, -5824, 7312
1707708233622, 252943, -8256, -5856, 7904
1707708233632, 252953, -8864, -6400, 8592
1707708233642, 252963, -9568, -7088, 9456
1707708233652, 252973, -10224, -7408, 10304
1707708233662, 252983, -10816, -7280, 11008
1707708233672, 252993, -11408, -7120, 11360
1707708233682, 253003, -11920, -6896, 11408
1707708233692, 253013, -12224, -6992, 11232
1707708233702, 253023, -12464, -7248, 10640
1707708233712, 253033, -12896, -7536, 9712
1707708233722, 253043, -13360, -7968, 9232
1707708233732, 253053, -13984, -8384, 9280
1707708233742, 253063, -14688, -9232, 9456
1707708233752, 253073, -15360, -9808, 9376
1707708233762, 253083, -16016, -10272, 9280
1707708233772, 253093, -16608, -10592, 9184
1707708233782, 253103, -17280, -10992, 9280
1707708233792, 253113, -17680, -11584, 9472
1707708233802, 253123, -18000, -12160, 9760
1707708233812, 253133, -18608, -12688, 10160
1707708233822, 253143, -19312, -13232, 10416
1707708233832, 253153, -19648, -13712, 10592
1707708233842, 253163, -19488, -14112, 10384
1707708233852, 253173, -19248, -14480, 9936
1707708233862, 253183, -19200, -14208, 9472
1707708233872, 253193, -19280, -12816, 8848
1707708233882, 253203, -19328, -10752, 8288
1707708233892, 253213, -19056, -8464, 8000
1707708233902, 253223, -18880, -6240, 8256
1707708233912, 253233, -18496, -4496, 9312
1707708233922, 253243, -17536, -3840, 10480
1707708233932, 253253, -16592, -3136, 11696
1707708233942, 253263, -15104, -880, 12848
1707708233952, 253273, -13728, 320, 13456
1707708233962, 253283, -11760, 1264, 13664
1707708233972, 253293, -10096, 1472, 13312
1707708233982, 253303, -8768, 1248, 12944
1707708233992, 253313, -7568, 560, 12192
1707708234002, 253323, -6592, -256, 11056
1707708234012, 253333, -5552, -1408, 9632
1707708234022, 253343, -4896, -2288, 8592
1707708234032, 253353, -4480, -2496, 7584
1707708234042, 253363, -4480, -2112, 6400
1707708234052, 253373, -4688, -1568, 5280
1707708234062, 253383, -4608, -1184, 4336
1707708234072, 253393, -4336, -1008, 3488
1707708234082, 253403, -4160, -1632, 3088
1707708234092, 253413, -4016, -1968, 3024
1707708234102, 253423, -3792, -1776, 2992
1707708234112, 253433, -3952, -1472, 3568
1707708234122, 253443, -4160, -1264, 4560
1707708234132, 253453, -4432, -1488, 5632
1707708234142, 253463, -4864, -1920, 6592
1707708234152, 253473, -5008, -2080, 7392
1707708234162, 253483, -5424, -2240, 8080
1707708234172, 253493, -6080, -2288, 8768
1707708234182, 253503, -6864, -2144, 9232
1707708234192, 253513, -7952, -2208, 9424
1707708234202, 253523, -7952, -2672, 9232
1707708234212, 253533, -8816, -3200, 9040
1707708234222, 253543, -9248, -4176, 9296
1707708234232, 253553, -10064, -5472, 9504
1707708234242, 253563, -10736, -6864, 9296
1707708234252, 253573, -11312, -7936, 8816
1707708234262, 253583, -11296, -8864, 8016
1707708234272, 253593, -11952, -9536, 7584
1707708234282, 253603, -12592, -10208, 7088
1707708234292, 253613, -13696, -10688, 6800
1707708234302, 253623, -14496, -11712, 6592
1707708234312, 253633, -15184, -12688, 7136
1707708234322, 253643, -16240, -13664, 7840
1707708234332, 253653, -17808, -14656, 8512
1707708234342, 253663, -18864, -15648, 8704
1707708234352, 253673, -19072, -15744, 8208
1707708234362, 253683, -19216, -15584, 7216
1707708234372, 253693, -19584, -15648, 6352
1707708234382, 253703, -19808, -15904, 6000
1707708234392, 253713, -20288, -16352, 6048
1707708234402, 253723, -20832, -16656, 6512
1707708234412, 253733, -21344, -16784, 6896
1707708234422, 253743, -21968, -16288, 6928
1707708234432, 253753, -22688, -15840, 6880
1707708234442, 253763, -22784, -15056, 6672
1707708234452, 253773, -22560, -14064, 6496
